119,Addax_nasomaculatus,Dasyprocta_leporina,Chaetophractus_villosus,Artibeus_jamaicensis,Asellia_tridens,Aonyx_cinerea,Papio_hamadryas,Cervus_elaphus,Aepyprymnus_rufescens,Vulpes_cana,Nannospalax_ehrenbergi,Tursiops_truncatus,Eulemur_fulvus,Capra_nubiana,Cebus_olivaceus,Hydrochoerus_hydrochaeris,Caracal_caracal,Carollia_perspicillata,Felis_catus,Sciurus_anomalus,Chaerephon_plicatus,Pan_troglodytes,Chinchilla_lanigera,Axis_axis,Colobus_guereza,Vulpes_vulpes,Erinaceus_concolor,Tupaia_glis,Bos_taurus,Myocastor_coypus,Cynopterus_brachyotis,Octodon_degus,Madoqua_kirkii,Equus_asinus,Eonycteris_spelaea,Eptesicus_fuscus,Dama_dama,Vulpes_zerda,Mustela_putorius,Rousettus_aegyptiacus,Giraffa_camelopardalis,Capra_aegagrus,Acomys_russatus,Gorilla_gorilla,Macropus_giganteus,Chlorocebus_aethiops,Lepus_timidus,Ursus_thibetanus,Hipposideros_armiger,Mellivora_capensis,Equus_caballus,Alouatta_caraya,Homo_sapiens,Hyaena_hyaena,Procavia_capensis,Axis_porcinus,Felis_chaus,Phascolarctos_cinereus,Lama_glama,Lemur_catta,Panthera_pardus,Lycaon_pictus,Macaca_fascicularis,Macaca_nigra,Macaca_silenus,Macaca_leonina,Mandrillus_sphinx,Lophocebus_albigena,Dolichotis_patagonum,Callithrix_pygmaea,Suricata_suricatta,Meriones_tristrami,Miniopterus_schreibersii,Herpestes_ichneumon,Mus_musculus,Myotis_emarginatus,Myotis_myotis,Myotis_vivesi,Nasua_nasua,Equus_hemionus,Pongo_abelii,Oryx_leucoryx,Lutra_lutra,Funambulus_pennantii,Pecari_tajacu,Pipistrellus_kuhlii,Hystrix_indica,Cynomys_ludovicianus,Pteropus_lylei,Oryctolagus_cuniculus,Rattus_norvegicus,Macropus_rufus,Macropus_parryi,Ailurus_fulgens,Rhinolophus_ferrumequinum,Rhinopoma_microphyllum,Felis_margarita,Hemiechinus_auritus,Ovis_aries,Symphalangus_syndactylus,Cavia_porcellus,Acomys_cahirinus,Saimiri_sciureus,Stenella_coeruleoalba,Sturnira_lilium,Tadarida_teniotis,Saguinus_oedipus,Saguinus_imperator,Saguinus_midas,Tapirus_terrestris,Eudorcas_thomsonii,Panthera_tigris,Desmodus_rotundus,Chlorocebus_pygerythrus,Microtus_guentheri,Sus_scrofa,Connochaetes_taurinus,Canis_lupus,Equus_burchellii
Addax_nasomaculatus,0.0,192.92477836,210.9195616,157.05748419,157.05748419000003,155.50991284000003,192.92477836,54.61456201,317.19517518,155.50991284,192.92477835,111.91970621,192.92477836999998,27.66399725,192.92477838000002,192.92477836,155.50991284000003,157.05748419000003,155.50991284000003,192.92477835,157.05748419,192.92477836999996,192.92477836,54.61456201,192.92477836,155.50991284000003,178.64763682,192.92477836,49.200000010000004,192.92477835,157.05748419,192.92477835,36.00000001,155.50991284000003,157.05748419000003,157.05748419000003,54.61456201,155.50991284,155.50991284000003,157.05748419000003,53.347185010000004,27.66399725,192.92477835,192.92477836999998,317.19517518,192.92477837,192.92477836,155.50991284000003,157.05748419000003,155.50991284000003,155.50991284000003,192.92477837,192.92477836999996,155.50991284000003,210.9195616,54.61456201,155.50991284000003,317.19517518,128.36804816,192.92477836999998,155.50991284000003,155.50991284000003,192.92477836,192.92477836,192.92477836,192.92477836,192.92477836,192.92477836,192.92477836,192.92477837,155.50991284,192.92477835,157.05748419000003,155.50991284,192.92477835,157.05748419000003,157.05748419000003,157.05748419000003,155.50991284000003,155.50991284000003,192.92477836999998,8.0942,155.50991284000003,192.92477835,123.93197705,157.05748419000003,192.92477836,192.92477835,157.05748419000003,192.92477836,192.92477835,317.19517518,317.19517518,155.50991284000003,157.05748419000003,157.05748419,155.50991284000003,178.64763682,27.66399725,192.92477836,192.92477836,192.92477835,192.92477838000002,111.91970621,157.05748419,157.05748419,192.92477838,192.92477838,192.92477838,155.50991284000003,36.00000001,155.50991284000003,157.05748419000003,192.92477837,192.92477835,123.93197705,25.45598286,155.50991284000003,155.50991284000003
Dasyprocta_leporina,192.92477836,0.0,210.91956158,192.92477835,192.92477835,192.92477834,179.64637483999996,192.92477835,317.19517515999996,192.92477834,145.75341631,192.92477835,179.64637484999997,192.92477835,179.64637486,56.562988340000004,192.92477834,192.92477835,192.92477834,145.75341631000003,192.92477835,179.64637484999997,71.557999,192.92477835,179.64637484,192.92477834,192.92477834,179.64637484,192.92477835,71.55799899,192.92477835,71.55799899,192.92477835,192.92477834,192.92477835,192.92477835,192.92477835,192.92477834,192.92477834,192.92477835,192.92477835,192.92477835,145.75341631,179.64637484999997,317.19517515999996,179.64637484999997,164.28159778,192.92477834,192.92477835,192.92477834,192.92477834,179.64637485,179.64637484999997,192.92477834,210.91956158,192.92477835,192.92477834,317.19517515999996,192.92477834,179.64637484999997,192.92477834,192.92477834,179.64637484,179.64637484,179.64637484,179.64637484,179.64637484,179.64637483999996,56.562988340000004,179.64637485,192.92477834,145.75341631,192.92477835,192.92477834,145.75341631,192.92477835,192.92477835,192.92477835,192.92477834,192.92477834,179.64637484999997,192.92477836,192.92477834,145.75341631000003,192.92477835,192.92477835,93.06075555999999,145.75341631000003,192.92477835,164.28159778,145.75341631,317.19517515999996,317.19517515999996,192.92477834,192.92477835,192.92477835,192.92477834,192.92477834,192.92477835,179.64637483999996,56.562988340000004,145.75341631,179.64637486,192.92477835,192.92477835,192.92477835,179.64637485999998,179.64637485999998,179.64637485999998,192.92477834,192.92477835,192.92477834,192.92477835,179.64637484999997,145.75341631,192.92477835,192.92477836,192.92477834,192.92477834
Chaetophractus_villosus,210.9195616,210.91956158,0.0,210.91956159,210.91956159,210.91956158,210.91956158,210.91956158999997,317.19517515999996,210.91956158,210.91956156999998,210.91956159,210.91956159,210.91956159,210.9195616,210.91956158,210.91956158,210.91956159,210.91956158,210.91956157,210.91956159,210.91956158999997,210.91956158,210.91956158999997,210.91956158,210.91956158,210.91956158,210.91956158,210.91956159,210.91956156999998,210.91956159,210.91956156999998,210.91956158999997,210.91956158,210.91956159,210.91956159,210.91956158999997,210.91956158,210.91956158,210.91956159,210.91956159,210.91956159,210.91956156999998,210.91956159,317.19517515999996,210.91956159,210.91956158,210.91956158,210.91956159,210.91956158,210.91956158,210.91956159,210.91956158999997,210.91956158,201.01272666,210.91956158999997,210.91956158,317.19517515999996,210.91956158,210.91956159,210.91956158,210.91956158,210.91956158,210.91956158,210.91956158,210.91956158,210.91956158,210.91956158,210.91956158,210.91956159,210.91956158,210.91956156999998,210.91956159,210.91956158,210.91956156999998,210.91956159,210.91956159,210.91956159,210.91956158,210.91956158,210.91956159,210.9195616,210.91956158,210.91956157,210.91956159,210.91956159,210.91956158,210.91956157,210.91956159,210.91956158,210.91956156999998,317.19517515999996,317.19517515999996,210.91956158,210.91956159,210.91956159,210.91956158,210.91956158,210.91956159,210.91956158,210.91956158,210.91956156999998,210.9195616,210.91956159,210.91956159,210.91956159,210.9195616,210.9195616,210.9195616,210.91956158,210.91956158999997,210.91956158,210.91956159,210.91956159,210.91956156999998,210.91956159,210.9195616,210.91956158,210.91956158
Artibeus_jamaicensis,157.05748419,192.92477835,210.91956159,0.0,123.32241572,157.05748417,192.92477835,157.05748418,317.19517517,157.05748416999998,192.92477834,157.05748418000002,192.92477836,157.05748418000002,192.92477837,192.92477835,157.05748417,43.0,157.05748417,192.92477834,105.292047,192.92477835999998,192.92477835,157.05748418,192.92477835,157.05748417,178.64763681,192.92477835,157.05748418000002,192.92477834,123.32241572,192.92477834,157.05748418000002,157.05748417,123.32241572,105.292047,157.05748418,157.05748416999998,157.05748417,123.32241572,157.05748418000002,157.05748418000002,192.92477834,192.92477836,317.19517517,192.92477836,192.92477835,157.05748417,123.32241572,157.05748417,157.05748417,192.92477836,192.92477835999998,157.05748417,210.91956159,157.05748418,157.05748417,317.19517517,157.05748417,192.92477836,157.05748417,157.05748417,192.92477835,192.92477835,192.92477835,192.92477835,192.92477835,192.92477835,192.92477835,192.92477836,157.05748417,192.92477834,105.292047,157.05748417,192.92477834,105.292047,105.292047,105.292047,157.05748417,157.05748417,192.92477836,157.05748419,157.05748417,192.92477834,157.05748418000002,105.292047,192.92477835,192.92477834,123.32241572,192.92477835,192.92477834,317.19517517,317.19517517,157.05748417,123.32241572,123.32241571999998,157.05748417,178.64763681,157.05748418000002,192.92477835,192.92477835,192.92477834,192.92477837,157.05748418000002,35.34429556,105.292047,192.92477837,192.92477837,192.92477837,157.05748417,157.05748418,157.05748417,58.8,192.92477836,192.92477834,157.05748418000002,157.05748419,157.05748417,157.05748417
Asellia_tridens,157.05748419000003,192.92477835,210.91956159,123.32241572,0.0,157.05748417,192.92477835,157.05748418000002,317.19517517,157.05748417,192.92477834,157.05748418000002,192.92477836,157.05748418000002,192.92477837,192.92477835,157.05748417,123.32241572000001,157.05748417,192.92477834,123.32241572000001,192.92477835999998,192.92477835,157.05748418000002,192.92477835,157.05748417,178.64763681,192.92477835,157.05748418000002,192.92477834,116.15694952000001,192.92477834,157.05748418000002,157.05748417,116.15694952000001,123.32241572000001,157.05748418000002,157.05748417,157.05748417,116.15694952000001,157.05748418000002,157.05748418000002,192.92477834,192.92477836,317.19517517,192.92477836,192.92477835,157.05748417,72.4,157.05748417,157.05748417,192.92477836,192.92477835999998,157.05748417,210.91956159,157.05748418000002,157.05748417,317.19517517,157.05748417,192.92477836,157.05748417,157.05748417,192.92477835,192.92477835,192.92477835,192.92477835,192.92477835,192.92477835,192.92477835,192.92477836,157.05748417,192.92477834,123.32241572000001,157.05748417,192.92477834,123.32241572000001,123.32241572000001,123.32241572000001,157.05748417,157.05748417,192.92477836,157.05748419000003,157.05748417,192.92477834,157.05748418000002,123.32241572000001,192.92477835,192.92477834,116.15694952000001,192.92477835,192.92477834,317.19517517,317.19517517,157.05748417,92.2,104.44105250000001,157.05748417,178.64763681,157.05748418000002,192.92477835,192.92477835,192.92477834,192.92477837,157.05748418000002,123.32241572,123.32241572000001,192.92477837,192.92477837,192.92477837,157.05748417,157.05748418000002,157.05748417,123.32241572000001,192.92477836,192.92477834,157.05748418000002,157.05748419000003,157.05748417,157.05748417
Aonyx_cinerea,155.50991284000003,192.92477834,210.91956158,157.05748417,157.05748417,0.0,192.92477834,155.50991283000002,317.19517515999996,91.05669934,192.92477832999998,155.50991283000002,192.92477835,155.50991283000002,192.92477836,192.92477834,108.64288235999999,157.05748417,108.64288235999999,192.92477832999998,157.05748417,192.92477834999997,192.92477834,155.50991283000002,192.92477834,91.05669934,178.6476368,192.92477834,155.50991283000002,192.92477832999998,157.05748417,192.92477832999998,155.50991283000002,154.453188,157.05748417,157.05748417,155.50991283000002,91.05669934,35.0,157.05748417,155.50991283000002,155.50991283000002,192.92477832999998,192.92477835,317.19517515999996,192.92477835,192.92477834,79.78682534000001,157.05748417,41.10001,154.453188,192.92477835,192.92477834999997,108.64288235999999,210.91956158,155.50991283000002,108.64288235999999,317.19517515999996,155.50991282,192.92477835,108.64288235999999,91.05669934,192.92477834,192.92477834,192.92477834,192.92477834,192.92477834,192.92477834,192.92477834,192.92477835,108.64288235999999,192.92477832999998,157.05748417,108.64288235999999,192.92477832999998,157.05748417,157.05748417,157.05748417,58.61087066,154.453188,192.92477835,155.50991284000003,11.08939666,192.92477832999998,155.50991283000002,157.05748417,192.92477834,192.92477832999998,157.05748417,192.92477834,192.92477832999998,317.19517515999996,317.19517515999996,67.95407,157.05748417,157.05748417,108.64288235999999,178.6476368,155.50991283000002,192.92477834,192.92477834,192.92477832999998,192.92477836,155.50991283000002,157.05748417,157.05748417,192.92477836,192.92477836,192.92477836,154.453188,155.50991283000002,108.64288235999999,157.05748417,192.92477835,192.92477832999998,155.50991283000002,155.50991284000003,91.05669934,154.453188
Papio_hamadryas,192.92477836,179.64637483999996,210.91956158,192.92477835,192.92477835,192.92477834,0.0,192.92477835,317.19517516,192.92477834,179.64637482999998,192.92477835,147.67378868999998,192.92477835,86.3025927,179.64637483999996,192.92477834,192.92477835,192.92477834,179.64637482999998,192.92477835,58.88309363,179.64637483999996,192.92477835,38.844609559999995,192.92477834,192.92477834,164.20441416,192.92477835,179.64637482999998,192.92477835,179.64637482999998,192.92477835,192.92477834,192.92477835,192.92477835,192.92477835,192.92477834,192.92477834,192.92477835,192.92477835,192.92477835,179.64637482999998,58.88309363,317.19517516,27.49914167,179.64637483999996,192.92477834,192.92477835,192.92477834,192.92477834,86.30259269,58.88309363,192.92477834,210.91956158,192.92477835,192.92477834,317.19517516,192.92477834,147.67378868999998,192.92477834,192.92477834,24.799999999999997,24.799999999999997,24.799999999999997,24.799999999999997,24.799999999999997,14.800279,179.64637483999996,86.30259269000001,192.92477834,179.64637482999998,192.92477835,192.92477834,179.64637482999998,192.92477835,192.92477835,192.92477835,192.92477834,192.92477834,58.88309363,192.92477836,192.92477834,179.64637482999998,192.92477835,192.92477835,179.64637484,179.64637482999998,192.92477835,179.64637483999996,179.64637482999998,317.19517516,317.19517516,192.92477834,192.92477835,192.92477835,192.92477834,192.92477834,192.92477835,58.88309362,179.64637483999996,179.64637482999998,86.3025927,192.92477835,192.92477835,192.92477835,86.3025927,86.30259269999999,86.3025927,192.92477834,192.92477835,192.92477834,192.92477835,27.49914167,179.64637482999998,192.92477835,192.92477836,192.92477834,192.92477834
Cervus_elaphus,54.61456201,192.92477835,210.91956158999997,157.05748418,157.05748418000002,155.50991283000002,192.92477835,0.0,317.19517516999997,155.50991283,192.92477834,111.91970620000001,192.92477835999998,54.61456200000001,192.92477837,192.92477835,155.50991283000002,157.05748418000002,155.50991283000002,192.92477834,157.05748418,192.92477835999995,192.92477835,17.07916666,192.92477835,155.50991283000002,178.64763681,192.92477835,54.61456200000001,192.92477834,157.05748418,192.92477834,54.614562,155.50991283000002,157.05748418000002,157.05748418000002,27.2,155.50991283,155.50991283000002,157.05748418000002,54.61456200000001,54.61456200000001,192.92477834,192.92477835999998,317.19517516999997,192.92477836,192.92477835,155.50991283000002,157.05748418000002,155.50991283000002,155.50991283000002,192.92477836,192.92477835999995,155.50991283000002,210.91956158999997,17.07916666,155.50991283000002,317.19517516999997,128.36804815,192.92477835999998,155.50991283000002,155.50991283000002,192.92477835,192.92477835,192.92477835,192.92477835,192.92477835,192.92477835,192.92477835,192.92477836,155.50991283,192.92477834,157.05748418000002,155.50991283,192.92477834,157.05748418000002,157.05748418000002,157.05748418000002,155.50991283000002,155.50991283000002,192.92477835999998,54.61456201,155.50991283000002,192.92477834,123.93197703999999,157.05748418000002,192.92477835,192.92477834,157.05748418000002,192.92477835,192.92477834,317.19517516999997,317.19517516999997,155.50991283000002,157.05748418000002,157.05748418,155.50991283000002,178.64763681,54.614562,192.92477835,192.92477835,192.92477834,192.92477837,111.91970620000001,157.05748418,157.05748418,192.92477836999998,192.92477836999998,192.92477836999998,155.50991283000002,54.614562,155.50991283000002,157.05748418000002,192.92477836,192.92477834,123.93197703999999,54.61456201,155.50991283000002,155.50991283000002
Aepyprymnus_rufescens,317.19517518,317.19517515999996,317.19517515999996,317.19517517,317.19517517,317.19517515999996,317.19517516,317.19517516999997,0.0,317.19517516,317.19517514999995,317.19517517,317.19517516999997,317.19517516999997,317.19517518,317.19517515999996,317.19517515999996,317.19517517,317.19517515999996,317.19517515,317.19517516999997,317.19517516999997,317.19517515999996,317.19517516999997,317.19517515999996,317.19517516,317.19517515999996,317.19517515999996,317.19517516999997,317.19517514999995,317.19517517,317.19517514999995,317.19517516999997,317.19517516,317.19517517,317.19517516999997,317.19517516999997,317.19517516,317.19517515999996,317.19517517,317.19517517,317.19517516999997,317.19517514999995,317.19517516999997,47.878927700000006,317.19517516999997,317.19517516,317.19517515999996,317.19517517,317.19517515999996,317.19517516,317.19517516999997,317.19517516999997,317.19517516,317.19517515999996,317.19517516999997,317.19517515999996,97.88998154000001,317.19517516,317.19517516999997,317.19517515999996,317.19517516,317.19517516,317.19517515999996,317.19517515999996,317.19517515999996,317.19517516,317.19517516,317.19517515999996,317.19517516999997,317.19517516,317.19517514999995,317.19517516999997,317.19517516,317.19517514999995,317.19517517,317.19517517,317.19517516999997,317.19517515999996,317.19517516,317.19517517,317.19517518,317.19517515999996,317.19517515,317.19517516999997,317.19517516999997,317.19517515999996,317.19517515,317.19517517,317.19517516,317.19517514999995,47.878927700000006,47.8789277,317.19517515999996,317.19517517,317.19517517,317.19517515999996,317.19517515999996,317.19517516999997,317.19517516,317.19517515999996,317.19517514999995,317.19517518,317.19517517,317.19517517,317.19517516999997,317.19517518,317.19517518,317.19517518,317.19517516,317.19517517,317.19517515999996,317.19517517,317.19517516999997,317.19517514999995,317.19517516999997,317.19517518,317.19517516,317.19517516
Vulpes_cana,155.50991284,192.92477834,210.91956158,157.05748416999998,157.05748417,91.05669934,192.92477834,155.50991283,317.19517516,0.0,192.92477832999998,155.50991283000002,192.92477834999997,155.50991283000002,192.92477836,192.92477834,108.64288236,157.05748417,108.64288235999999,192.92477832999998,157.05748416999998,192.92477834999994,192.92477834,155.50991283,192.92477834,10.42876,178.6476368,192.92477834,155.50991283000002,192.92477832999998,157.05748416999998,192.92477832999998,155.50991283000002,154.453188,157.05748417,157.05748417,155.50991283,6.1257,91.05669934,157.05748417,155.50991283,155.50991283000002,192.92477832999998,192.92477834999997,317.19517516,192.92477835,192.92477834,91.05669934,157.05748417,91.05669934,154.453188,192.92477835,192.92477834999994,108.64288236,210.91956158,155.50991283,108.64288236,317.19517516,155.50991282,192.92477834999997,108.64288236,28.306579,192.92477834,192.92477834,192.92477834,192.92477834,192.92477834,192.92477834,192.92477834,192.92477835,108.64288235999999,192.92477832999998,157.05748417,108.64288235999999,192.92477832999998,157.05748417,157.05748417,157.05748417,91.05669934,154.453188,192.92477834999997,155.50991284,91.05669934,192.92477832999998,155.50991283,157.05748417,192.92477834,192.92477832999998,157.05748417,192.92477834,192.92477832999998,317.19517516,317.19517516,91.05669934,157.05748417,157.05748416999998,108.64288235999999,178.6476368,155.50991283000002,192.92477834,192.92477834,192.92477832999998,192.92477836,155.50991283000002,157.05748416999998,157.05748416999998,192.92477835999998,192.92477835999998,192.92477835999998,154.453188,155.50991283,108.64288236,157.05748417,192.92477835,192.92477832999998,155.50991283,155.50991284,28.306579,154.453188
