thirdRootVolume,Addax_nasomaculatus,Dasyprocta_leporina,Chaetophractus_villosus,Artibeus_jamaicensis,Asellia_tridens,Aonyx_cinerea,Papio_hamadryas,Cervus_elaphus,Aepyprymnus_rufescens,Vulpes_cana,Nannospalax_ehrenbergi,Tursiops_truncatus,Eulemur_fulvus,Capra_nubiana,Cebus_olivaceus,Hydrochoerus_hydrochaeris,Caracal_caracal,Carollia_perspicillata,Felis_catus,Sciurus_anomalus,Chaerephon_plicatus,Pan_troglodytes,Chinchilla_lanigera,Axis_axis,Colobus_guereza,Vulpes_vulpes,Erinaceus_concolor,Tupaia_glis,Bos_taurus,Myocastor_coypus,Cynopterus_brachyotis,Octodon_degus,Madoqua_kirkii,Equus_asinus,Eonycteris_spelaea,Eptesicus_fuscus,Dama_dama,Vulpes_zerda,Mustela_putorius,Rousettus_aegyptiacus,Giraffa_camelopardalis,Capra_aegagrus,Acomys_russatus,Gorilla_gorilla,Macropus_giganteus,Chlorocebus_aethiops,Lepus_timidus,Ursus_thibetanus,Hipposideros_armiger,Mellivora_capensis,Equus_caballus,Alouatta_caraya,Homo_sapiens,Hyaena_hyaena,Procavia_capensis,Axis_porcinus,Felis_chaus,Phascolarctos_cinereus,Lama_glama,Lemur_catta,Panthera_pardus,Lycaon_pictus,Macaca_fascicularis,Macaca_nigra,Macaca_silenus,Macaca_leonina,Mandrillus_sphinx,Lophocebus_albigena,Dolichotis_patagonum,Callithrix_pygmaea,Suricata_suricatta,Meriones_tristrami,Miniopterus_schreibersii,Herpestes_ichneumon,Mus_musculus,Myotis_emarginatus,Myotis_myotis,Myotis_vivesi,Nasua_nasua,Equus_hemionus,Pongo_abelii,Oryx_leucoryx,Lutra_lutra,Funambulus_pennantii,Pecari_tajacu,Pipistrellus_kuhlii,Hystrix_indica,Cynomys_ludovicianus,Pteropus_lylei,Oryctolagus_cuniculus,Rattus_norvegicus,Macropus_rufus,Macropus_parryi,Ailurus_fulgens,Rhinolophus_ferrumequinum,Rhinopoma_microphyllum,Felis_margarita,Hemiechinus_auritus,Ovis_aries,Symphalangus_syndactylus,Cavia_porcellus,Acomys_cahirinus,Saimiri_sciureus,Stenella_coeruleoalba,Sturnira_lilium,Tadarida_teniotis,Saguinus_oedipus,Saguinus_imperator,Saguinus_midas,Tapirus_terrestris,Eudorcas_thomsonii,Panthera_tigris,Desmodus_rotundus,Chlorocebus_pygerythrus,Microtus_guentheri,Sus_scrofa,Connochaetes_taurinus,Canis_lupus,Equus_burchellii
Gorilla_gorilla,1.7088343339272098,4.607491288763398,5.033586441626074,6.22729099372331,6.754552071995069,4.021295141973305,1.9865348580231281,1.1660288140448842,5.282928624278664,4.681864057663011,6.101803875226393,4.473140395223776,4.572614556476977,2.6021872597874642,3.211653630336318,3.622710521197642,3.256566415143468,6.526990227925015,4.425662518549287,5.47176294610584,6.655985569992021,0.04017768126761112,5.641464175829432,2.1684157713923757,2.8823355040399266,3.9619010441851956,5.942989504354229,6.129803303733468,0.3178357961971532,4.744800925840547,6.240510160597581,6.05798364066232,4.0228305458956,0.2095760869748382,6.2857014355160645,6.701149464526768,1.6008024807170733,4.732983672923428,5.567090235029495,6.044398218726784,1.2302542667846534,2.7566301874118984,6.4214866052328174,0.0,3.746020099665183,3.389738197575109,5.294347794969769,1.200166020576516,6.462408012603857,3.4657648986993297,0.9702941075387472,3.338250273856387,3.2654108321305366,2.6929869850689085,4.8045733055608295,5.030303211695847,3.6539545426767064,4.6881584780217445,1.2998432088546843,4.411853468795874,2.163716890649678,2.332867807323884,3.2006747026366704,2.8651900742782193,3.2695767509495512,2.8441644656634635,2.2409100187057773,2.1671255142444243,4.367781543110323,5.645006606178686,5.044664840802409,6.306058746521774,6.642239931176099,4.442638239903349,6.548991029367908,6.6462624515163355,6.542902423074319,6.604999325710241,4.018954050878385,0.5149839159423459,0.10634999671312813,2.2396006631121046,3.8374160182142383,6.1133513104413835,2.8709649362727325,6.598579489020483,4.067234005069628,5.630944631183746,5.4716567208736056,5.215905649928182,6.121113304431463,3.8209234202764364,4.364695754867916,3.7600441174682855,6.604987732558517,6.591909095480393,4.060675979857552,6.13697611190023,2.4485902897316825,2.2854556494348115,5.753708651880622,6.388743615969514,4.2152615079059705,2.0150664729063257,6.500762347781158,6.55104720496362,5.108132590519918,5.100228408312082,5.125424018068691,1.7003918099463098,3.138862994980853,0.9548786901891599,6.365501627507541,3.1800366094452874,6.4389265861615606,2.266003265289738,0.4045846942355116,2.6462721285370754,0.9665488183004385
Macropus_giganteus,2.037185765737973,0.861471189098215,1.2875663419608916,2.4812708940581274,3.0085319723298865,0.2752750423081225,1.7594852416420546,2.5799912856202987,1.5369085246134817,0.9358439579978288,2.35578377556121,8.219160494888959,0.8265944568117949,1.1438328398777182,0.534366469328865,0.2608426350584794,0.489453684521715,2.780970128259832,0.6796424188841038,1.7257428464406572,2.9099654703268376,3.705842418397572,1.895444076164249,1.5776043282728072,0.8636845956252563,0.2608426350584794,2.1969694046890464,2.383783204068285,3.4281843034680297,0.9987808261753637,2.4944900609323977,2.311963540997137,0.2768104462304164,3.5364440126903447,2.5396813358508816,2.9551293648615853,2.1452176189481094,0.9869635732582451,1.821070135364312,2.298378119061601,4.976274366449836,0.9893899122532843,2.675466505567635,3.746020099665183,0.0,0.3696054685776453,1.5483276953045864,2.545854079088667,2.7163879129386745,0.2802552009658532,4.71631420720393,0.4077698258087963,7.0114309317957195,1.0530331145962744,1.0585532058956468,1.2842831120306637,0.2608426350584794,0.942138378356562,2.4461768908104986,0.6658333691306906,1.582303209015505,1.4131522923412991,0.5453453970285123,0.8808300253869636,0.47644334871563165,0.9018556340017194,1.5051100809594056,1.5788945854207586,0.62176144344514,1.8989865065135034,1.2986447411372262,2.5600386468565914,2.896219831510916,0.6966181402381668,2.802970929702725,2.9002423518511526,2.7968823234091365,2.858979226045058,0.3104040923691846,3.231036183722837,3.6920961584612235,1.5064194365530785,0.3185792109404105,2.3673312107762006,0.8750551633924504,2.8525593893552994,0.3212139054044454,1.8849245315185628,1.7256366212084222,1.4698855502629993,2.3750932047662796,0.2608426350584794,0.618675655202733,0.2608426350584794,2.8589676328933344,2.8458889958152094,0.4941254245713267,2.3909560122350473,1.2974298099335004,1.4605644502303714,2.007688552215439,2.6427235163043314,0.46924140824078764,5.761086572571508,2.7547422481159747,2.8050271052984375,1.3621124908547344,1.3542083086469001,1.3794039184035083,2.045628289718873,0.60715710468433,2.791141409476023,2.619481527842358,0.5659834902198955,2.6929064864963776,1.4800168343754447,3.3414354054296713,1.0997479711281077,4.712568917965621
Chlorocebus_aethiops,1.6809038636478992,1.2177530911882888,1.6438482440509654,2.837552796148201,3.3648138744199603,0.6315569443981963,1.4032033395519807,2.223709383530225,1.8931904267035553,1.2921258600879026,2.7120656776512835,7.862878592798885,1.1828763589018687,0.7875509377876444,0.17808456723879118,0.23297232362253295,0.13317178243164118,3.137252030349906,1.0359243209741777,2.0820247485307313,3.2662473724169114,3.349560516307498,2.2517259782543224,1.2213224261827333,0.5074026935351825,0.5721628466100865,2.5532513067791203,2.740065106158359,3.071902401377956,1.3550627282654375,2.8507719630224715,2.668245443087211,0.6330923483204902,3.180162110600271,2.8959632379409554,3.311411266951659,1.7889357168580355,1.343245475348319,2.177352037454386,2.6546600211516758,4.619992464359762,0.6331080101632106,3.031748407657709,3.389738197575109,0.3696054685776453,0.0,1.9046095973946602,2.189572176998593,3.0726698150287484,0.12208640000673743,4.360032305113856,0.13165997885625202,6.655149029705645,0.6967512125062005,1.4148351079857207,1.6405650141207375,0.2642163451015973,1.2984202804466358,2.089894988720425,1.0221152712207644,1.226021306925431,1.0568703902512253,0.23817770308322722,0.5245481232968898,0.12208640000673743,0.5455737319116456,1.1488281788693318,1.2226126833306847,0.9780433455352138,2.2552684086035777,1.6549266432273,2.9163205489466657,3.2525017336009894,1.0529000423282406,3.159252831792799,3.256524253941227,3.1531642254992107,3.2152611281351318,0.6292158533032758,2.874754281632763,3.3358142563711497,1.1501375344630047,0.4476778206391295,2.723613112866275,0.5187732613023766,3.2088412914453732,0.6774958074945192,2.241206433608636,2.081918523298496,1.826167452353073,2.7313751068563534,0.4311852227013275,0.9749575572928069,0.3703059198931764,3.215249534983408,3.202170897905283,0.6709377822824429,2.7472379143251215,0.9411479078434266,1.1042825481402976,2.3639704543055133,2.9990054183944057,0.8255233103308615,5.404804670481434,3.111024150206049,3.1613090073885113,1.7183943929448082,1.710490210736974,1.735685820493582,1.6893463876287993,0.2508752025942562,2.434859507385949,2.975763429932432,0.20970158812982165,3.049188388586452,1.123734932285371,2.9851535033395975,0.7434660690380338,4.356287015875547
Lepus_timidus,3.5855134610425594,0.6868565062063714,0.26076135334369477,0.932943198753541,1.4602042770253,1.2730526529964639,3.307812936946641,4.128318980924885,0.031875164771590025,0.6124837373067575,0.8074560802566234,9.767488190193546,0.7217332384927914,2.6921605351823046,2.0826941646334514,1.6716372737721272,2.0377813798263014,1.2326424329552457,0.8686852764204825,0.17741515113607087,1.3616377750222513,5.254170113702158,0.34711638085966245,3.1259320235773935,2.4120122909298427,1.3324467507845736,0.6486417093844601,0.8354555087636988,4.976511998772616,0.5495468691292227,0.9461623656278114,0.7636358456925507,1.27151724907417,5.084771707994931,0.9913536405462954,1.406801669556999,3.6935453142526957,0.5613641220463412,0.27274244005972575,0.750050423757015,6.524602061754423,2.537717607557871,1.1271388102630486,5.294347794969769,1.5483276953045864,1.9046095973946602,0.0,4.094181774393253,1.1680602176340882,1.8285828962704396,6.264641902508517,1.9560975211133826,8.559758627100305,2.6013608099008607,0.48977448940893953,0.26404458327392266,1.6403932522930629,0.6061893169480244,3.994504586115085,0.8824943261738958,3.1306309043200913,2.9614799876458853,2.093673092333099,2.42915772069155,2.024771044020218,2.450183329306306,3.053437776263992,3.127222280725345,0.9265662518594464,0.3506588112089173,0.24968295416736028,1.0117109515520053,1.3478921362063294,0.8517095550664195,1.2546432343981389,1.3519146565465665,1.2485546281045503,1.3106515307404716,1.2753937440913845,4.779363879027423,5.24042385376581,3.0547471318576647,1.4569317767555308,0.8190035154716144,2.4233828586970367,1.3042316940507133,1.227113789900141,0.3365968362139762,0.17730892590383585,0.07844214504158709,0.8267655094616934,1.4734243746933327,0.9296520401018533,1.5343036775014838,1.3106399375887479,1.297561300510623,1.2336718151122172,0.8426283169304611,2.845757505238087,3.0088921455349578,0.45936085691085293,1.0943958209997453,1.0790862870637987,7.309414267876095,1.2064145528113885,1.256699409993851,0.18621520444985196,0.19411938665768624,0.16892377690107807,3.5939559850234595,2.1554847999889164,4.339469104780609,1.0711538325377719,2.114311185524482,1.1445787911917915,3.028344529680031,4.889763100734258,2.648075666432694,6.260896613270208
Ursus_thibetanus,0.508668313350694,3.4073252681868818,3.8334204210495586,5.027124973146794,5.554386051418553,2.8211291213967895,0.7863688374466123,0.09596721432053323,4.0827626037021485,3.481698037086496,4.901637854649877,5.673306415800292,3.372448535900462,1.4020212392109488,2.011487609759802,2.422544500621126,2.056400394566952,5.3268242073484995,3.2254964979727703,4.271596925529324,5.455819549415505,1.1599883393089048,4.441298155252916,0.9682497508158598,1.6821694834634107,2.7617350236086797,4.7428234837777135,4.929637283156952,0.8823302243793627,3.5446349052640307,5.040344140021065,4.857817620085804,2.8226645253190834,0.9905899336016777,5.085535414939549,5.500983443950252,0.4006364601405575,3.532817652346912,4.366924214452979,4.8442321981502685,2.4304202873611693,1.5564641668353827,5.2213205846563016,1.200166020576516,2.545854079088667,2.189572176998593,4.094181774393253,0.0,5.2622419920273416,2.265598878122814,2.170460128115263,2.138084253279871,4.465576852707052,1.4928209644923927,3.6044072849843136,3.8301371911193307,2.4537885221001905,3.487992457445229,0.0996771882781684,3.2116874482193576,0.9635508700731621,1.1327017867473679,2.000508682060155,1.6650240537017034,2.0694107303730354,1.6439984450869476,1.0407439981292614,0.9669594936679085,3.167615522533807,4.44484058560217,3.844498820225893,5.1058927259452584,5.442073910599583,3.242472219326834,5.348825008791392,5.44609643093982,5.3427364024978035,5.404833305133725,2.818788030301869,0.68518210463417,1.1462420793725565,1.0394346425355885,2.637249997637723,4.913185289864868,1.6707989156962166,5.398413468443967,2.8670679844931124,4.43077861060723,4.27149070029709,4.015739629351666,4.920947283854947,2.6207573996999205,3.1645297342914,2.5598780968917696,5.4048217119820015,5.391743074903877,2.8605099592810364,4.936810091323714,1.2484242691551666,1.0852896288582956,4.553542631304106,5.1885775953929985,3.0150954873294546,3.2152324934828416,5.300596327204642,5.350881184387104,3.9079665699434014,3.9000623877355673,3.9252579974921753,0.5002257893697939,1.938696974404337,0.24528733038735595,5.165335606931025,1.9798705888687715,5.238760565585045,1.0658372447132223,0.7955813263410043,1.4461061079605593,2.1667148388769544
Hipposideros_armiger,4.753573678676648,1.8549167238404596,1.428821570977783,0.23511701888054715,0.29214405939121185,2.441112870630552,4.4758731545807295,5.296379198558974,1.1794793883251928,1.7805439549408457,0.3606041373774648,10.935548407827634,1.8897934561268794,3.8602207528163923,3.2507543822675395,2.8396974914062154,3.2058415974603895,0.06458221532115738,2.036745494054571,0.9906450664980173,0.19357755738816318,6.422230331336246,0.8209438367744257,4.293992241211482,3.580072508563931,2.500506968418662,0.5194185082496281,0.3326047088703894,6.144572216406704,1.7176070867633109,0.22189785200627676,0.40442437194153746,2.439577466708258,6.252831925629019,0.17670657708779286,0.23874145192291069,4.8616055318867835,1.7294243396804294,0.8953177775743624,0.41800979387707315,7.692662279388511,3.7057778251919586,0.040921407371039664,6.462408012603857,2.7163879129386745,3.0726698150287484,1.1680602176340882,5.2622419920273416,0.0,2.9966431139045278,7.432702120142604,3.1241577387474706,9.727818844734395,3.769421027534949,1.6578347070430277,1.4321048009080108,2.808453469927151,1.7742495345821125,5.162564803749174,2.050554543807984,4.29869112195418,4.129540205279974,3.2617333099671866,3.597217938325638,3.192831261654306,3.618243546940394,4.22149799389808,4.295282498359433,2.0946264694935346,0.8174014064251709,1.4177431718014486,0.15634926608208288,0.17983191857224123,2.0197697727005077,0.08658301676405067,0.18385443891247832,0.08049441047046213,0.1425913131063835,2.4434539617254725,5.9474240966615115,6.408484071399898,4.222807349491753,2.6249919943896187,0.34905670216247375,3.591443076331125,0.17953167600227374,2.395174007534229,0.831463381420112,0.9907512917302523,1.2465023626756753,0.3412947081723947,2.641484592327421,2.0977122577359415,2.702363895135572,0.14257971995465968,0.12950108287653483,2.401732032746305,0.32543190070362704,4.013817722872175,4.176952363169046,0.7086993607232352,0.07366439663434288,2.247146504697887,8.477474485510182,0.03835433517730036,0.08863919235976275,1.3542754220839401,1.3621796042917744,1.3369839945351663,4.762016202657548,3.3235450176230046,5.5075293224146975,0.09690638509631633,3.28237140315857,0.02348142644229667,4.196404747314119,6.057823318368346,3.816135884066782,7.428956830904296
Mellivora_capensis,1.7569305647721198,1.1417263900640682,1.5678215429267448,2.7615260950239806,3.2887871732957397,0.5555302432739757,1.4792300406762018,2.2997360846544455,1.817163725579335,1.216099158963682,2.636038976527063,7.938905293923106,1.106849657777648,0.863577638911865,0.2541112683630118,0.15694562249831234,0.2091984835558618,3.0612253292256852,0.9598976198499569,2.0059980474065107,3.190220671292691,3.4255872174317186,2.175699277130102,1.297349127306954,0.5834293946594031,0.49613614548586593,2.4772246056548997,2.6640384050341384,3.1479291025021765,1.279036027141217,2.774745261898251,2.5922187419629905,0.5570656471962696,3.2561888117244915,2.819936536816735,3.2353845658274385,1.8649624179822564,1.2672187742240983,2.1013253363301656,2.5786333200274547,4.696019165483984,0.7091347112874312,2.955721706533488,3.4657648986993297,0.2802552009658532,0.12208640000673743,1.8285828962704396,2.265598878122814,2.9966431139045278,0.0,4.436059006238077,0.12751462484294307,6.731175730829866,0.7727779136304211,1.3388084068615,1.564538312996517,0.1881896439773767,1.2223935793224152,2.1659216898446454,0.9460885700965438,1.3020480080496517,1.132897091375446,0.26509019606265904,0.6005748244211104,0.19618814774977844,0.6216004330358662,1.2248548799935524,1.2986393844549053,0.9020166444109932,2.179241707479357,1.5788999421030794,2.840293847822445,3.1764750324767688,0.97687334120402,3.0832261306685784,3.1804975528170063,3.07713752437499,3.139234427010911,0.5531891521790552,2.9507809827569838,3.4118409574953703,1.2261642355872253,0.37165111951490887,2.6475864117420542,0.5947999624265972,3.1328145903211526,0.6014691063702986,2.1651797324844155,2.0058918221742754,1.7501407512288525,2.655348405732133,0.35515852157710687,0.8989308561685863,0.2942792187689558,3.139222833859187,3.1261441967810626,0.5949110811582223,2.671211213200901,1.0171746089676472,1.1803092492645182,2.2879437531812927,2.922978717270185,0.7494966092066409,5.480831371605656,3.0349974490818283,3.0852823062642907,1.6423676918205876,1.6344635096127533,1.6596591193693615,1.76537308875302,0.3269019037184768,2.5108862085101697,2.8997367288082114,0.28572828925404226,2.9731616874622313,1.1997616334095915,3.061180204463818,0.8194927701622544,4.432313716999769
