Common_name,Species,Family,Order
Tapir,Tapirus_terrestris,Tapiridae,Perissodactyla
ThomsonGazelle,Eudorcas_thomsonii,Bovidae,Artiodactyla
Tigris,Panthera_tigris,Felidae,Carnivora
VampireBat,Desmodus_rotundus,Phyllostomidae,Chiroptera
Vervet,Chlorocebus_pygerythrus,Cercopithecidae,Primates
Vole,Microtus_guentheri,Cricetidae,Rodentia
Wildboar,Sus_scrofa,Suidae,Artiodactyla
Wilderbeest,Connochaetes_taurinus,Bovidae,Artiodactyla
Wolf,Canis_lupus,Canidae,Carnivora
Zebra,Equus_burchellii,Equidae,Perissodactyla
